,RNA-seq 8h,RNA-seq 24h,Proteomics 8h,Proteomics 24h
PAX5,Up,,,
PBDC1,Up,,,
PDCD2L,,,,Up
PDE4D,,,,Up
PDE4DIP,Up,,,
PDIA6,Up,,,
PDXK,Up,,,
PELO,Up,,,
PFKFB4,,,,Up
PFKP,Up,,,
PGAP1,Up,,,Down
PIH1D1,,,,Up
PIK3CA,Up,,,
PIK3R3,Up,,,
PITPNM2,,Up,,
PKN2,,,,Up
PLGRKT,Up,,,
PLOD2,Up,,,Down
PLSCR4,Up,,,
PLXNC1,Up,,,
PMAIP1,Up,,,
PODXL,Up,,,
POGK,,,,Up
POLDIP3,,,,Up
POLM,,,,Up
PPM1H,,,,Up
PPP1R1A,Up,,,
PPP2R2D,,,,Up
PQLC3,,,,Up
PRKRIP1,,,Up,
PRMT3,,,Up,
PRMT7,Up,,,
PROX1,Up,,,
PSAT1,,,,Up
PSMA2,Up,,,
PSMA3,Up,,,
PSMA4,Up,,,
PSMA6,Up,,,
PSMA7,,,,Up
PSMB2,,,,Up
PSMB3,Up,,,
PSMB4,,,,Up
PSMC1,,,,Up
PTGS2,,,,Up
PTMS,,,Up,
PTPN13,,,Up,
PTPRK,Up,,,Down
R3HCC1L,,,,Up
RAB20,Up,,,
RAB24,Up,,,
RAB2B,Up,,,
RAB39A,Up,,,
RAB8B,Up,,,
RABL2B,,,,Up
RAD50,,,Down,Up
RAE1,,,,Up
RANGAP1,,,,Up
RAP1GAP2,,,,Up
RAPGEF2,,,,Up
RBBP6,Up,,,
RBM15,,,,Up
RBM7,Up,,,Down
RBX1,Up,,,
RCOR3,,,Up,
RERE,,,Up,
RHBDD1,Up,,,
RHBDD3,,Up,,
RHOBTB1,,,,Up
RHOC,Up,,,
RHOG,,,,Up
RIC8B,,,,Up
RIMS2,,,Up,Down
RIN2,Up,,,
RMI2,Up,,Down,
RNF114,Up,,,
RNF7,Up,,,
RPGR,,,,Up
RPL11,,,,Up
RPL28,,,Up,
RPL31,,,,Up
RPP21,,,,Up
RPP40,,,Up,
RPS6KA5,Up,,,
RPS6KB1,,,Up,
RPUSD4,,,Up,Down
RRAGC,Up,,,
RTKN,,,,Up
RTN4,,,,Up
RUSC1,Up,,,
RWDD2B,,,Up,
SARS2,,,,Up
SCAMP1,Up,,,
SCIN,Up,,,
SCO1,Up,,,
SEC23IP,,,,Up
SEC31A,,,,Up
SEC61G,,,Up,
SEL1L,,,,Up
SEMA3A,Up,,,
SEMA4B,,,Up,
SEMA4D,,,,Up
SERPINB1,Up,,,
SERPINH1,,Up,,
SESN2,,,,Up
SETD9,,,,Up
SFI1,,,Up,
SFMBT2,Up,,,
SH2D4A,,Up,,
SHC2,,,,Up
SLC16A12,Up,,,
SLC17A5,,,Up,
SLC18B1,Up,,,
SLC22A15,,,,Up
SLC22A5,,,Up,
SLC35A3,,,Up,
SLC35B1,,,,Up
SLC37A1,Up,,,
SLC37A3,Up,,,
SLC37A4,Up,,,
SLC40A1,,,Up,
SMARCA5,Up,,,
SMARCD1,,,,Up
SMG5,,,,Up
SMPD1,,,Up,
SMPD2,,,,Up
SNAPC1,,,Up,
SNX11,,,,Up
SNX2,Up,,,
SNX6,Up,,,
SNX7,Up,,,
SP2,,,Up,
SPATA2,,,Up,
SPINT2,,,Up,
SPRY4,,,,Up
SSR1,,,Up,
SSTR1,,,,Up
STK24,Up,,,
STK36,,,,Up
STOML1,Up,,,
SUFU,,,Up,
SUOX,Up,,,
SURF2,,,Up,
SURF6,,,,Up
SYNGR1,Down,,,Up
SYNJ1,,,,Up
SYNJ2,,,Up,
SYNJ2BP,Up,,,
TACC1,,,,Up
TAF8,,,,Up
TBC1D1,,,,Up
TBK1,Up,,,
TBX1,Up,,,
TCF4,Up,,,
TEC,,Up,,
TENM2,,,Up,
TEP1,Up,,,
TESK2,Up,,,
TGFBR1,,,Up,Down
TGFBRAP1,,,,Up
THTPA,Up,,,
TIPIN,Up,,,
TIPRL,,,,Up
TLE4,Up,,,
TM9SF2,,,,Up
TMED7-TICAM2,Up,,,
TMEM132A,,,Up,
TMEM176B,Up,,,
TMEM219,Up,,,Down
TMEM223,,,,Up
TMEM41B,,,,Up
TMSB10,Up,,,
TMTC2,Up,,,
TMX1,Up,,,
TNFAIP1,,,Up,
TNK2,Up,,,
TOM1,,,Up,
TOR1A,,,,Up
TRADD,,Up,,
TRAK1,,,,Up
TRIM32,,,,Up
TRIP10,,,,Up
TSC22D1,,,Up,
TSEN54,,,,Up
TSPAN2,,,,Up
TSPYL1,,,,Up
TTBK2,Up,,,
TTC32,Up,,,
TTC38,Up,,,
TTF2,,,,Up
TUFM,,,,Up
TUFT1,,,Up,
TWISTNB,,,,Up
TXNDC11,,Up,,
TXNL4B,Up,,,
UBALD1,,,,Up
UBE2A,,,,Up
UBE2Z,,,,Up
UBFD1,Up,,,
UGDH,,,,Up
USF1,Up,,,
USP15,Up,,,
USP28,,,,Up
USP33,Up,,,
USP4,,,,Up
UVRAG,Up,,,
VAMP3,,,Up,
VAMP8,Up,,,
