,RNA-seq 8h,RNA-seq 24h,Proteomics 8h,Proteomics 24h
FLVCR1,,,,
FLYWCH1,,,,
FLYWCH2,,,,
FMN2,,,,
FMNL2,,,,
FMNL3,,,,
FN3K,,,,
FN3KRP,,,,
FNBP1,,,,
FNBP1L,,,,
FNBP4,,,,
FNDC3A,,,,
FNIP2,,,,
FNTA,,,,
FNTB,,,,
FOCAD,,,,
FOPNL,,,,
FOXA2,,,,
FOXJ2,,,,
FOXJ3,,,,
FOXK1,,,,
FOXK2,,,,
FOXO1,,,,
FOXO3,,,,
FOXO4,,,,
FOXP1,,,,
FOXP2,,,,
FOXP4,,,,
FOXRED1,,,,
FOXRED2,,,,
FPGT,,,,
FRA10AC1,,,,
FREM2,,,,
FRG1,,,,
FRK,,,,
FRMD4B,,,,
FRMD5,,,,
FRMD8,,,,
FRMPD4,,,,
FRS2,,,,
FRYL,,,,
FSD1,,,,
FSD1L,,,,
FTCD,,,,
FTH1,,,,
FTL,,,,
FTO,,,,
FTSJ1,,,,
FTSJ3,,,,
FUBP1,,,,
FUBP3,,,,
FUCA1,,,,
FUCA2,,,,
FUK,,,,
FUNDC1,,,,
FUNDC2,,,,
FURIN,,,,
FUS,,,,
FUT11,,,,
FUT4,,,,
FUT8,,,,
FUZ,,,,
FXN,,,,
FXR1,,,,
FXR2,,,,
FXYD2,,,,
FXYD6,,,,
FYN,,,,
FZD1,,,,
FZD3,,,,
FZD5,,,,
FZD6,,,,
FZD7,,,,
FZR1,,,,
G3BP1,,,,
G3BP2,,,,
G6PC3,,,,
G6PD,,,,
GAA,,,,
GAB2,,,,
GABARAP,,,,
GABARAPL2,,,,
GABPA,,,,
GABRB3,,,,
GAD2,,,,
GADD45GIP1,,,,
GAK,,,,
GAL3ST1,,,,
GALC,,,,
GALE,,,,
GALK2,,,,
GALNS,,,,
GALNT1,,,,
GALNT10,,,,
GALNT11,,,,
GALNT12,,,,
GALNT13,,,,
GALNT14,,,,
GALNT16,,,,
GALNT18,,,,
GALNT2,,,,
GALNT7,,,,
GAMT,,,,
GAN,,,,
GANAB,,,,
GAP43,,,,
GAPDH,,,,
GAR1,,,,
GARS,,,,
GART,,,,
GAS2,,,,
GAS2L3,,,,
GAS8,,,,
GAST,,,,
GATA4,,,,
GATAD2A,,,,
GATAD2B,,,,
GATC,,,,
GATM,,,,
GBA,,,,
GBA2,,,,
GBE1,,,,
GBF1,,,,
GCAT,,,,
GCC1,,,,
GCC2,,,,
GCDH,,,,
GCFC2,,,,
GCHFR,,,,
GCK,,,,
GCLC,,,,
GCNT1,,,,
GCSH,,,,
GDAP1,,,,
GDAP1L1,,,,
GDAP2,,,,
GDE1,,,,
GDI1,,,,
GDPD1,,,,
GDPGP1,,,,
GEMIN2,,,,
GEMIN4,,,,
GEMIN5,,,,
GEMIN6,,,,
GEMIN7,,,,
GEMIN8,,,,
GET4,,,,
GFER,,,,
GFM1,,,,
GFM2,,,,
GFOD1,,,,
GGA1,,,,
GGA2,,,,
GGCT,,,,
GGCX,,,,
GGH,,,,
GGNBP2,,,,
GGT7,,,,
GHDC,,,,
GHITM,,,,
GID4,,,,
GID8,,,,
GIGYF1,,,,
GIGYF2,,,,
GINM1,,,,
GINS1,,,,
GINS2,,,,
GINS3,,,,
GINS4,,,,
GIPC1,,,,
GIPC2,,,,
GIPR,,,,
GIT1,,,,
GIT2,,,,
GJC2,,,,
GJD2,,,,
GK,,,,
GK5,,,,
GKAP1,,,,
GLA,,,,
GLB1,,,,
GLB1L,,,,
GLB1L2,,,,
GLDC,,,,
GLE1,,,,
GLG1,,,,
GLIS2,,,,
GLIS3,,,,
GLMN,,,,
GLO1,,,,
GLOD4,,,,
GLOD5,,,,
GLRX2,,,,
GLRX3,,,,
GLRX5,,,,
GLS,,,,
GLS2,,,,
GLT8D1,,,,
GLTP,,,,
GLTPD2,,,,
GLUD1,,,,
GLYCTK,,,,
GLYR1,,,,
GM2A,,,,
GMCL1,,,,
GMDS,,,,
GMEB1,,,,
GMEB2,,,,
GMFB,,,,
GMNN,,,,
GMPPA,,,,
GMPPB,,,,
GMPS,,,,
GNA11,,,,
GNA12,,,,
GNA13,,,,
GNAI1,,,,
GNAI2,,,,
GNAI3,,,,
GNAO1,,,,
GNAQ,,,,
GNAS,,,,
GNAZ,,,,
GNB1,,,,
GNB1L,,,,
GNB2,,,,
GNB5,,,,
GNE,,,,
GNG10,,,,
GNG12,,,,
GNG2,,,,
GNG4,,,,
GNL1,,,,
GNL2,,,,
GNL3L,,,,
GNPAT,,,,
GNPDA1,,,,
GNPDA2,,,,
GNPNAT1,,,,
GNPTAB,,,,
GNPTG,,,,
GNS,,,,
GOLGA1,,,,
GOLGA2,,,,
GOLGA3,,,,
GOLGA4,,,,
GOLGA5,,,,
GOLGA6L9,,,,
GOLGA7,,,,
GOLGB1,,,,
GOLIM4,,,,
GOLM1,,,,
GOLPH3,,,,
GOLPH3L,,,,
GOLT1A,,,,
GOLT1B,,,,
GOPC,,,,
GORAB,,,,
GORASP1,,,,
GORASP2,,,,
GOSR1,,,,
GOT1,,,,
GOT2,,,,
GPAA1,,,,
GPAM,,,,
GPANK1,,,,
GPATCH1,,,,
GPATCH11,,,,
GPATCH2,,,,
GPATCH2L,,,,
GPATCH3,,,,
GPATCH4,,,,
GPATCH8,,,,
GPBP1L1,,,,
GPC1,,,,
GPC2,,,,
GPC3,,,,
GPC6,,,,
GPCPD1,,,,
GPD1,,,,
GPD1L,,,,
GPHN,,,,
GPI,,,,
GPKOW,,,,
GPM6B,,,,
GPN1,,,,
GPN2,,,,
GPN3,,,,
GPR107,,,,
GPR108,,,,
GPR137,,,,
GPR155,,,,
GPR160,,,,
GPR179,,,,
GPR75-ASB3,,,,
GPR89A,,,,
GPRC5C,,,,
GPRIN1,,,,
GPRIN3,,,,
GPS1,,,,
GPS2,,,,
GPSM1,,,,
GPSM2,,,,
GPT2,,,,
GPX1,,,,
GPX4,,,,
GPX7,,,,
GRAMD1A,,,,
GRAMD1B,,,,
GRAMD4,,,,
GRASP,,,,
GRB14,,,,
GRB2,,,,
GRB7,,,,
GRHL1,,,,
GRHPR,,,,
GRIA2,,,,
GRIA4,,,,
GRIK3,,,,
GRIP1,,,,
GRK4,,,,
GRK6,,,,
GRM4,,,,
GRN,,,,
GRPEL1,,,,
GRPEL2,,,,
GRSF1,,,,
GRWD1,,,,
GSE1,,,,
GSK3A,,,,
GSK3B,,,,
GSKIP,,,,
GSN,,,,
GSPT1,,,,
GSPT2,,,,
GSR,,,,
GSS,,,,
GSTA4,,,,
GSTCD,,,,
GSTM1,,,,
GSTM2,,,,
GSTM3,,,,
GSTM4,,,,
GSTT2B,,,,
GSTZ1,,,,
GTDC1,,,,
GTF2A1,,,,
GTF2A2,,,,
GTF2E1,,,,
GTF2E2,,,,
GTF2F1,,,,
GTF2H1,,,,
GTF2H2C,,,,
GTF2H3,,,,
GTF2H4,,,,
GTF2H5,,,,
GTF2I,,,,
GTF2IRD2,,,,
GTF3A,,,,
GTF3C1,,,,
GTF3C2,,,,
GTF3C3,,,,
GTF3C4,,,,
GTF3C5,,,,
GTF3C6,,,,
GTPBP10,,,,
GTPBP3,,,,
GTPBP4,,,,
GTPBP8,,,,
GTSE1,,,,
GUCY2C,,,,
GUF1,,,,
GUK1,,,,
GUSB,,,,
GXYLT1,,,,
GYG1,,,,
GYG2,,,,
GYS1,,,,
GZF1,,,,
H1FX,,,,
H2AFV,,,,
H2AFY,,,,
H2AFY2,,,,
H3F3B,,,,
H6PD,,,,
HAAO,,,,
HABP4,,,,
HACE1,,,,
HACL1,,,,
HADH,,,,
HADHA,,,,
HADHB,,,,
HAGH,,,,
HARS,,,,
HARS2,,,,
HAT1,,,,
HAUS1,,,,
HAUS2,,,,
HAUS5,,,,
HAUS6,,,,
HAUS7,,,,
HAUS8,,,,
HAX1,,,,
HBS1L,,,,
HCCS,,,,
HCFC1,,,,
HCFC2,,,,
HCN2,,,,
HCN4,,,,
HDAC1,,,,
HDAC10,,,,
HDAC2,,,,
HDAC3,,,,
HDAC4,,,,
HDAC5,,,,
HDAC6,,,,
HDAC8,,,,
HDDC2,,,,
HDGF,,,,
HDHD2,,,,
HDHD3,,,,
HDLBP,,,,
HEATR1,,,,
HEATR3,,,,
HEATR5A,,,,
HEATR5B,,,,
HEATR6,,,,
HEBP1,,,,
HEBP2,,,,
HECA,,,,
HECTD1,,,,
HECTD3,,,,
HECTD4,,,,
HECW2,,,,
HELLS,,,,
HELQ,,,,
HELZ,,,,
HEMK1,,,,
HEPACAM2,,,,
HERC1,,,,
HERC2,,,,
HERC4,,,,
HEXA,,,,
HEXB,,,,
HEXIM1,,,,
HEXIM2,,,,
HGD,,,,
HGS,,,,
HGSNAT,,,,
HIBADH,,,,
HIC2,,,,
HID1,,,,
HIF1AN,,,,
HIGD1A,,,,
HIGD2A,,,,
HINFP,,,,
HINT1,,,,
HINT2,,,,
HINT3,,,,
HIP1,,,,
HIP1R,,,,
HIRIP3,,,,
HJURP,,,,
HK2,,,,
HKDC1,,,,
HLCS,,,,
HLTF,,,,
HM13,,,,
HMBOX1,,,,
HMBS,,,,
HMG20A,,,,
HMG20B,,,,
HMGA1,,,,
HMGB1,,,,
HMGB2,,,,
HMGB3,,,,
HMGCL,,,,
HMGCLL1,,,,
HMGCR,,,,
HMGCS1,,,,
HMGCS2,,,,
HMGN1,,,,
HMGN2,,,,
HMGN3,,,,
HMGN4,,,,
HMGN5,,,,
HMGXB4,,,,
HMMR,,,,
HMOX2,,,,
HNF4A,,,,
HNRNPA0,,,,
HNRNPA1,,,,
HNRNPA1L2,,,,
HNRNPA2B1,,,,
HNRNPA3,,,,
HNRNPAB,,,,
HNRNPC,,,,
HNRNPD,,,,
HNRNPDL,,,,
HNRNPF,,,,
HNRNPH1,,,,
HNRNPH2,,,,
HNRNPH3,,,,
HNRNPK,,,,
HNRNPL,,,,
HNRNPM,,,,
HNRNPR,,,,
HNRNPU,,,,
HNRNPUL1,,,,
HNRNPUL2,,,,
HOMER1,,,,
HOMER2,,,,
HOMEZ,,,,
HOOK1,,,,
HOOK3,,,,
HP1BP3,,,,
HPCA,,,,
HPCAL1,,,,
HPDL,,,,
HPGD,,,,
HPRT1,,,,
HPS3,,,,
HPS5,,,,
HPS6,,,,
HRAS,,,,
HS1BP3,,,,
HS2ST1,,,,
HS6ST1,,,,
HS6ST3,,,,
HSBP1,,,,
HSD11B1L,,,,
HSD17B10,,,,
HSD17B11,,,,
HSD17B12,,,,
HSD17B4,,,,
HSD17B7,,,,
HSD17B8,,,,
HSDL1,,,,
HSDL2,,,,
HSF1,,,,
HSF2,,,,
HSP90AA1,,,,
HSP90AB1,,,,
HSP90B1,,,,
HSPA12A,,,,
HSPA13,,,,
HSPA2,,,,
HSPA4,,,,
HSPA4L,,,,
HSPA8,,,,
HSPA9,,,,
HSPB11,,,,
HSPBP1,,,,
HSPD1,,,,
HSPE1,,,,
HSPH1,,,,
HTATSF1,,,,
HTRA1,,,,
HTRA2,,,,
HTT,,,,
HUNK,,,,
HUS1,,,,
HUWE1,,,,
HYAL2,,,,
HYI,,,,
HYOU1,,,,
HYPK,,,,
IAH1,,,,
IARS,,,,
IARS2,,,,
IBA57,,,,
IBTK,,,,
ICA1,,,,
ICA1L,,,,
ICMT,,,,
IDE,,,,
IDH1,,,,
IDH2,,,,
IDH3A,,,,
IDH3B,,,,
IDH3G,,,,
IDI1,,,,
IDNK,,,,
IDS,,,,
IDUA,,,,
IER3IP1,,,,
IFFO1,,,,
IFNAR1,,,,
IFNGR1,,,,
IFRD1,,,,
IFRD2,,,,
IFT122,,,,
IFT140,,,,
IFT172,,,,
IFT20,,,,
IFT27,,,,
IFT46,,,,
IFT52,,,,
IFT57,,,,
IFT74,,,,
IFT80,,,,
IFT81,,,,
IFT88,,,,
IGBP1,,,,
IGDCC3,,,,
IGDCC4,,,,
IGF1R,,,,
IGF2,,,,
IGF2BP3,,,,
IGF2R,,,,
IGFALS,,,,
IGFBP2,,,,
IGFBP5,,,,
IGFBP7,,,,
IGFBPL1,,,,
IGHMBP2,,,,
IGSF1,,,,
IGSF11,,,,
IGSF3,,,,
IGSF9,,,,
IK,,,,
IKBIP,,,,
IKBKB,,,,
IKBKG,,,,
IL10RB,,,,
IL6R,,,,
ILF2,,,,
ILF3,,,,
ILK,,,,
ILKAP,,,,
ILVBL,,,,
IMMP1L,,,,
IMMP2L,,,,
IMMT,,,,
IMP3,,,,
IMP4,,,,
IMPA2,,,,
IMPACT,,,,
IMPAD1,,,,
IMPDH1,,,,
IMPDH2,,,,
INCENP,,,,
INF2,,,,
ING1,,,,
ING2,,,,
ING3,,,,
ING4,,,,
ING5,,,,
INHA,,,,
INIP,,,,
INO80,,,,
INO80B,,,,
INO80C,,,,
INO80D,,,,
INO80E,,,,
INPP4A,,,,
INPP5A,,,,
INPP5B,,,,
INPP5E,,,,
INPP5F,,,,
INPP5J,,,,
INPP5K,,,,
INPPL1,,,,
INS,,,,
INSIG2,,,,
INSM1,,,,
INSM2,,,,
INSR,,,,
INTS1,,,,
INTS10,,,,
INTS2,,,,
INTS3,,,,
INTS4,,,,
INTS5,,,,
INTS6,,,,
INTS7,,,,
INTS8,,,,
INTS9,,,,
INVS,,,,
IP6K1,,,,
IPMK,,,,
IPO11,,,,
IPO13,,,,
IPO5,,,,
IPO7,,,,
IPO8,,,,
IPO9,,,,
IPP,,,,
IQCB1,,,,
IQCE,,,,
IQGAP1,,,,
IQGAP3,,,,
IQSEC1,,,,
IQSEC3,,,,
IRAK1,,,,
IREB2,,,,
IRF2BP1,,,,
IRF2BP2,,,,
IRF3,,,,
IRF6,,,,
IRGQ,,,,
IRS2,,,,
IRX2,,,,
ISCA1,,,,
ISCA2,,,,
ISCU,,,,
ISG20L2,,,,
ISL1,,,,
ISOC1,,,,
ISOC2,,,,
IST1,,,,
ISY1,,,,
ISYNA1,,,,
ITFG1,,,,
ITFG2,,,,
ITGA7,,,,
ITGAV,,,,
ITGB1,,,,
ITGB1BP1,,,,
ITGB3BP,,,,
ITGB5,,,,
ITGB8,,,,
ITM2B,,,,
ITM2C,,,,
ITPA,,,,
ITPK1,,,,
ITPKA,,,,
ITPKC,,,,
ITPR1,,,,
ITPR2,,,,
ITPR3,,,,
ITPRIPL1,,,,
ITSN1,,,,
ITSN2,,,,
IVD,,,,
IVNS1ABP,,,,
IWS1,,,,
JAG2,,,,
JAGN1,,,,
JAK1,,,,
JAKMIP2,,,,
JAM3,,,,
JAZF1,,,,
JMJD1C,,,,
JMJD4,,,,
JMJD6,,,,
JMJD7,,,,
JMJD8,,,,
JMY,,,,
JPH1,,,,
JRKL,,,,
JSRP1,,,,
JTB,,,,
JUND,,,,
JUP,,,,
KANK1,,,,
KANK2,,,,
KANSL1,,,,
KANSL1L,,,,
KANSL2,,,,
KANSL3,,,,
KAT5,,,,
KAT6A,,,,
KAT6B,,,,
KAT7,,,,
KAT8,,,,
KATNAL1,,,,
KATNB1,,,,
KATNBL1,,,,
KBTBD4,,,,
KBTBD6,,,,
KBTBD7,,,,
KBTBD8,,,,
KCMF1,,,,
KCNB2,,,,
KCNG3,,,,
KCNH2,,,,
KCNH6,,,,
KCNH7,,,,
KCNJ11,,,,
KCNJ3,,,,
KCNJ6,,,,
KCNK16,,,,
KCNK17,,,,
KCNMA1,,,,
KCNQ2,,,,
KCTD10,,,,
KCTD11,,,,
KCTD12,,,,
KCTD13,,,,
KCTD16,,,,
KCTD17,,,,
KCTD18,,,,
KCTD21,,,,
KCTD3,,,,
KCTD5,,,,
KCTD6,,,,
KCTD7,,,,
KCTD8,,,,
KCTD9,,,,
KDELC1,,,,
KDELC2,,,,
KDELR1,,,,
KDELR2,,,,
KDELR3,,,,
KDM1A,,,,
KDM1B,,,,
KDM2A,,,,
KDM2B,,,,
KDM3A,,,,
KDM3B,,,,
KDM4B,,,,
KDM4C,,,,
KDM5A,,,,
KDM5B,,,,
KDM5C,,,,
KDM5D,,,,
KDM6B,,,,
KDM8,,,,
KDSR,,,,
KEAP1,,,,
KHDRBS1,,,,
KHDRBS3,,,,
KHK,,,,
KHNYN,,,,
KHSRP,,,,
KIAA0100,,,,
KIAA0319,,,,
KIAA0319L,,,,
KIAA0355,,,,
KIAA0391,,,,
KIAA0513,,,,
KIAA0586,,,,
KIAA0753,,,,
KIAA0930,,,,
KIAA1109,,,,
KIAA1143,,,,
KIAA1147,,,,
KIAA1211,,,,
KIAA1324,,,,
KIAA1324L,,,,
KIAA1328,,,,
KIAA1522,,,,
KIAA1549,,,,
KIAA1586,,,,
KIAA1671,,,,
KIAA1841,,,,
KIAA1958,,,,
KIAA2013,,,,
KIAA2026,,,,
KIDINS220,,,,
KIF11,,,,
KIF12,,,,
KIF13A,,,,
KIF13B,,,,
KIF14,,,,
KIF15,,,,
KIF18A,,,,
KIF1A,,,,
KIF1B,,,,
KIF1C,,,,
KIF20A,,,,
KIF20B,,,,
KIF21A,,,,
KIF22,,,,
KIF23,,,,
KIF26B,,,,
KIF2A,,,,
KIF2C,,,,
KIF3A,,,,
KIF3B,,,,
KIF3C,,,,
KIF4A,,,,
KIF5A,,,,
KIF5B,,,,
KIF5C,,,,
KIFAP3,,,,
KIFC1,,,,
KIFC3,,,,
KIN,,,,
KIRREL2,,,,
KLC1,,,,
KLC2,,,,
KLC4,,,,
KLF13,,,,
KLF16,,,,
KLHDC10,,,,
KLHDC2,,,,
KLHDC3,,,,
KLHDC4,,,,
KLHDC8B,,,,
KLHL11,,,,
KLHL14,,,,
KLHL15,,,,
KLHL2,,,,
KLHL20,,,,
KLHL22,,,,
KLHL25,,,,
KLHL26,,,,
KLHL29,,,,
KLHL36,,,,
KLHL42,,,,
KLHL7,,,,
KLHL8,,,,
KLHL9,,,,
KMT2A,,,,
KMT2C,,,,
KNDC1,,,,
KNOP1,,,,
KNSTRN,,,,
KNTC1,,,,
KPNA1,,,,
KPNA2,,,,
KPNA3,,,,
KPNA4,,,,
KPNA6,,,,
KPNB1,,,,
KPTN,,,,
KRAS,,,,
KRBA1,,,,
KRCC1,,,,
KRI1,,,,
KRIT1,,,,
KRR1,,,,
KRT10,,,,
KRT18,,,,
KRT19,,,,
KRT80,,,,
KRTCAP3,,,,
KSR1,,,,
KSR2,,,,
KTI12,,,,
KTN1,,,,
KXD1,,,,
L1CAM,,,,
L2HGDH,,,,
L3MBTL2,,,,
L3MBTL3,,,,
LACTB2,,,,
LAGE3,,,,
LAMA2,,,,
LAMA5,,,,
LAMB1,,,,
LAMC1,,,,
LAMP1,,,,
LAMTOR1,,,,
LAMTOR2,,,,
LAMTOR3,,,,
LAMTOR4,,,,
LAMTOR5,,,,
LANCL1,,,,
LANCL2,,,,
LANCL3,,,,
LARP1,,,,
LARP1B,,,,
LARP4,,,,
LARP4B,,,,
LARP6,,,,
LARP7,,,,
LARS,,,,
LAS1L,,,,
LASP1,,,,
LATS1,,,,
LBR,,,,
LCA5,,,,
LCLAT1,,,,
LCMT1,,,,
LCMT2,,,,
LCOR,,,,
LCORL,,,,
LDB1,,,,
LDHA,,,,
LDHB,,,,
LDLR,,,,
LDLRAP1,,,,
LEMD2,,,,
LEMD3,,,,
LENG1,,,,
LENG8,,,,
LENG9,,,,
LEO1,,,,
LEPROT,,,,
LEPROTL1,,,,
LETM1,,,,
LETM2,,,,
LETMD1,,,,
LFNG,,,,
LGALS2,,,,
LGALS3,,,,
LGALSL,,,,
LGR4,,,,
LHPP,,,,
LIAS,,,,
LIFR,,,,
LIG1,,,,
LIG3,,,,
LIG4,,,,
LIMD1,,,,
LIMD2,,,,
LIMK1,,,,
LIMK2,,,,
LIMS1,,,,
LIN28B,,,,
LIN37,,,,
LIN52,,,,
LIN54,,,,
LIN7A,,,,
LIN7B,,,,
LIN7C,,,,
LIN9,,,,
LINGO1,,,,
LINGO2,,,,
LIPC,,,,
LIPE,,,,
LIPG,,,,
LIPT2,,,,
LIX1L,,,,
LLGL1,,,,
LLGL2,,,,
LMAN1,,,,
LMAN2,,,,
LMAN2L,,,,
LMBR1,,,,
LMBR1L,,,,
LMBRD1,,,,
LMBRD2,,,,
LMCD1,,,,
LMF2,,,,
LMLN,,,,
LMNA,,,,
LMNB1,,,,
LMNB2,,,,
LMTK2,,,,
LNX2,,,,
LONP1,,,,
LONP2,,,,
LONRF2,,,,
LOXL2,,,,
LOXL3,,,,
LPCAT1,,,,
LPCAT2,,,,
LPCAT3,,,,
LPCAT4,,,,
LPGAT1,,,,
LPIN2,,,,
LPIN3,,,,
LPP,,,,
LRBA,,,,
LRCH3,,,,
LRCH4,,,,
LRFN3,,,,
LRIF1,,,,
LRIG1,,,,
LRIG2,,,,
LRP1,,,,
LRP11,,,,
LRP12,,,,
LRP5,,,,
LRP5L,,,,
LRP6,,,,
LRP8,,,,
LRPAP1,,,,
LRPPRC,,,,
LRRC1,,,,
LRRC14,,,,
LRRC24,,,,
LRRC28,,,,
LRRC40,,,,
LRRC41,,,,
LRRC42,,,,
LRRC45,,,,
LRRC47,,,,
LRRC49,,,,
LRRC4B,,,,
LRRC57,,,,
LRRC58,,,,
LRRC59,,,,
LRRC61,,,,
LRRC8A,,,,
LRRC8B,,,,
LRRC8C,,,,
LRRC8D,,,,
LRRCC1,,,,
LRRFIP1,,,,
LRRFIP2,,,,
LRWD1,,,,
LSAMP,,,,
LSG1,,,,
LSM1,,,,
LSM10,,,,
LSM11,,,,
LSM12,,,,
LSM14A,,,,
LSM14B,,,,
LSM2,,,,
LSM3,,,,
LSM5,,,,
LSM6,,,,
LSM7,,,,
LSS,,,,
LTA4H,,,,
LTBP4,,,,
LTBR,,,,
LTN1,,,,
LTV1,,,,
LUC7L,,,,
LUC7L2,,,,
LUC7L3,,,,
LUZP1,,,,
LXN,,,,
LY75,,,,
LYAR,,,,
LYPLA1,,,,
LYPLA2,,,,
LYPLAL1,,,,
LYRM1,,,,
LYRM2,,,,
LYRM4,,,,
LYRM7,,,,
LYSMD1,,,,
LYSMD3,,,,
LYST,,,,
LZIC,,,,
LZTFL1,,,,
LZTS1,,,,
LZTS2,,,,
M6PR,,,,
MACF1,,,,
MACROD1,,,,
MACROD2,,,,
MAD2L1,,,,
MAD2L1BP,,,,
MAD2L2,,,,
MAEA,,,,
MAF1,,,,
MAFA,,,,
MAFB,,,,
MAFG,,,,
MAGEA2B,,,,
MAGEA3,,,,
MAGED1,,,,
MAGED4,,,,
MAGEF1,,,,
MAGEH1,,,,
MAGEL2,,,,
MAGI1,,,,
MAGI2,,,,
MAGI3,,,,
MAK16,,,,
MAL2,,,,
MALSU1,,,,
MALT1,,,,
MAMDC4,,,,
MAN1A1,,,,
MAN1A2,,,,
MAN1B1,,,,
MAN1C1,,,,
MAN2A1,,,,
MAN2A2,,,,
MAN2B1,,,,
MAN2B2,,,,
MAN2C1,,,,
MANBA,,,,
MANBAL,,,,
MANEA,,,,
MANEAL,,,,
MANSC1,,,,
MAOA,,,,
MAOB,,,,
MAP1A,,,,
MAP1B,,,,
MAP1LC3A,,,,
MAP1LC3B2,,,,
MAP1S,,,,
MAP2K1,,,,
MAP2K2,,,,
MAP2K3,,,,
MAP2K4,,,,
MAP2K5,,,,
MAP2K7,,,,
MAP3K1,,,,
MAP3K11,,,,
MAP3K15,,,,
MAP3K2,,,,
MAP3K4,,,,
MAP3K7,,,,
MAP4,,,,
MAP4K2,,,,
MAP4K3,,,,
MAP4K5,,,,
MAP6,,,,
MAP7,,,,
MAP7D1,,,,
MAP7D2,,,,
MAP9,,,,
MAPK1,,,,
MAPK11,,,,
MAPK13,,,,
MAPK14,,,,
MAPK1IP1L,,,,
MAPK3,,,,
MAPK7,,,,
MAPK8,,,,
MAPK8IP1,,,,
MAPK8IP3,,,,
MAPK9,,,,
MAPKAP1,,,,
MAPKAPK2,,,,
MAPKAPK3,,,,
MAPKAPK5,,,,
MAPKBP1,,,,
MAPRE1,,,,
MAPRE2,,,,
MAPRE3,,,,
MARC1,,,,
MARC2,,,,
MARCH5,,,,
MARCH6,,,,
MARCH7,,,,
MARCH8,,,,
MARCKSL1,,,,
MARK1,,,,
MARK2,,,,
MARK3,,,,
MARK4,,,,
MARS,,,,
MARS2,,,,
MARVELD2,,,,
MARVELD3,,,,
MAST1,,,,
MAST2,,,,
MAST4,,,,
MATN2,,,,
MATR3,,,,
MAU2,,,,
MAVS,,,,
MAZ,,,,
MB21D2,,,,
MBD2,,,,
MBD4,,,,
MBD6,,,,
MBIP,,,,
MBLAC2,,,,
MBNL1,,,,
MBNL2,,,,
MBNL3,,,,
MBOAT1,,,,
MBOAT2,,,,
MBOAT7,,,,
MBP,,,,
MBTD1,,,,
MBTPS1,,,,
MBTPS2,,,,
MCAT,,,,
MCCC1,,,,
MCCC2,,,,
MCEE,,,,
MCF2L,,,,
MCFD2,,,,
MCM2,,,,
MCM3,,,,
MCM3AP,,,,
MCM4,,,,
MCM5,,,,
MCM6,,,,
MCM7,,,,
MCM8,,,,
MCMBP,,,,
MCOLN1,,,,
MCOLN3,,,,
MCRS1,,,,
MCTP2,,,,
MCTS1,,,,
MCU,,,,
MCUR1,,,,
MDC1,,,,
MDH1,,,,
MDH2,,,,
MDN1,,,,
MDP1,,,,
ME1,,,,
MEA1,,,,
MEAF6,,,,
MECOM,,,,
MECP2,,,,
MECR,,,,
MED1,,,,
MED10,,,,
MED11,,,,
MED12,,,,
MED12L,,,,
MED13,,,,
MED13L,,,,
MED14,,,,
MED15,,,,
MED16,,,,
MED17,,,,
MED18,,,,
MED19,,,,
MED20,,,,
MED21,,,,
MED22,,,,
MED23,,,,
MED24,,,,
MED25,,,,
MED26,,,,
MED27,,,,
MED28,,,,
MED29,,,,
MED30,,,,
MED31,,,,
MED4,,,,
MED6,,,,
MED7,,,,
MED8,,,,
MED9,,,,
MEF2A,,,,
MEF2D,,,,
MEGF8,,,,
MEGF9,,,,
MEIS1,,,,
MEIS2,,,,
MELK,,,,
MEMO1,,,,
MEN1,,,,
MEPCE,,,,
MEST,,,,
METAP1,,,,
METAP1D,,,,
METRN,,,,
METTL1,,,,
METTL13,,,,
METTL14,,,,
METTL15,,,,
METTL16,,,,
METTL17,,,,
METTL2A,,,,
METTL2B,,,,
METTL3,,,,
METTL4,,,,
METTL5,,,,
METTL6,,,,
METTL7B,,,,
METTL9,,,,
MEX3A,,,,
MEX3B,,,,
MEX3C,,,,
MEX3D,,,,
MFAP1,,,,
MFAP2,,,,
MFAP3,,,,
MFAP4,,,,
MFF,,,,
MFGE8,,,,
MFHAS1,,,,
MFN1,,,,
MFN2,,,,
MFSD1,,,,
MFSD10,,,,
MFSD11,,,,
MFSD12,,,,
MFSD3,,,,
MFSD5,,,,
MFSD6,,,,
MFSD8,,,,
MFSD9,,,,
MGA,,,,
MGAM,,,,
MGAT1,,,,
MGAT2,,,,
MGAT3,,,,
MGAT4A,,,,
MGAT4B,,,,
MGAT5,,,,
MGEA5,,,,
MGME1,,,,
MGMT,,,,
MGST2,,,,
MGST3,,,,
MIA3,,,,
MIB1,,,,
MIB2,,,,
MICAL2,,,,
MICALL1,,,,
MICU1,,,,
MICU2,,,,
MID1IP1,,,,
MID2,,,,
MIEN1,,,,
MIER2,,,,
MIER3,,,,
MIF,,,,
MIF4GD,,,,
MIIP,,,,
MINK1,,,,
MINOS1,,,,
MINPP1,,,,
MIOS,,,,
MIPEP,,,,
MIS18A,,,,
MIS18BP1,,,,
MISP,,,,
MITD1,,,,
MKI67,,,,
MKL1,,,,
MKL2,,,,
MKLN1,,,,
MKRN1,,,,
MKRN2,,,,
MKS1,,,,
MLEC,,,,
MLF1,,,,
MLF2,,,,
MLH1,,,,
MLH3,,,,
MLLT1,,,,
MLLT10,,,,
MLLT11,,,,
MLST8,,,,
MLX,,,,
MLXIP,,,,
