Cluster 1,Cluster 2,Cluster 3,Cluster 1A,Cluster 1B,Cluster 1C,Cluster 2B
PATL2,GRAMD1C,,,,,STAT3
EEF1E1-MUTED,GRI0,,,,,STX17
0MPT,GRM8,,,,,TANK
0MPTL,GSDMB,,,,,TBX1
0T8,GSTO1,,,,,TBX15
NCKAP1L,GTF2B,,,,,TCF4
NEDD8-MDP1,GTPBP1,,,,,TESK2
NFKBIZ,HABP2,,,,,TGIF2
NLRC5,HDX,,,,,TICAM1
NMI,HEXDC,,,,,TLK2
NNMT,HFE,,,,,TMEM110-MUSTN1
NRROS,HHLA3,,,,,TMEM219
NUB1,HIRA,,,,,TNFRSF11A
NUGGC,HIST2H2AA3,,,,,TNFRSF14
OAS1,HIST2H2AA4,,,,,TRIM26
OAS2,HIST2H4A,,,,,TTC38
OAS3,HIST2H4B,,,,,UBA6
OASL,HIVEP1,,,,,UBE2QL1
OGFR,HIVEP2,,,,,USF1
PALMD,HRK,,,,,WHAMM
PARP10,IAPP,,,,,XIAP
PARP12,ID1,,,,,ZBTB33
PARP14,ID3,,,,,ZBTB42
PARP9,ID4,,,,,ZC3H12A
PHF11,IFI30,,,,,
PIK3AP1,IKBKE,,,,,
PLEKHA4,IL16,,,,,
PLEKHG7,IL17RC,,,,,
PLSCR1,IL18R1,,,,,
PML,IL22RA1,,,,,
PNPT1,IL7,,,,,
PPM1K,IMPA1,,,,,
PRKD2,INPP1,,,,,
PSMB10,INPP4B,,,,,
PSMB8,IRAK2,,,,,
PSMB9,IRF2,,,,,
PSTPIP2,ITGA3,,,,,
RARRES3,ITGB6,,,,,
RASGRP1,JAG1,,,,,
RASGRP3,JAK2,,,,,
RBM14-RBM4,KC03,,,,,
RBM43,KCNC2,,,,,
RFX6,KCNT2,,,,,
RNF144B,KDSR,,,,,
RNF213,KIAA0040,,,,,
RP11-1220K2.2,KIAA0226,,,,,
RPH3A,KIAA1217,,,,,
RSAD2,KIF6,,,,,
RTP4,KLB,,,,,
RUFY4,KLF4,,,,,
RUNX1,KLHDC7B,,,,,
SAMD9,KRT27,,,,,
SAMD9L,LAMA1,,,,,
SAMHD1,LGALS3BP,,,,,
SBNO2,LGALS8,,,,,
SCN7A,LGMN,,,,,
SEC16B,LHFP,,,,,
SECTM1,LIPA,,,,,
SELL,LMO2,,,,,
SHISA2,LNPEP,,,,,
